"Date de déclaration du cas","Par lien épidémiologique","En laboratoire","Moyenne mobile (7 jours)"
"2020-02-24 00:00:00",0,0,0.14
"2020-02-25 00:00:00",0,1,0.29
"2020-02-26 00:00:00",0,0,0.29
"2020-02-27 00:00:00",0,0,0.29
"2020-02-28 00:00:00",0,1,0.71
"2020-02-29 00:00:00",0,0,0.86
"2020-03-01 00:00:00",0,0,1.14
"2020-03-02 00:00:00",0,3,1.29
"2020-03-03 00:00:00",0,2,1.43
"2020-03-04 00:00:00",0,2,1.43
"2020-03-05 00:00:00",0,1,1.57
"2020-03-06 00:00:00",0,2,1.29
"2020-03-07 00:00:00",0,0,1.29
"2020-03-08 00:00:00",0,1,2.43
"2020-03-09 00:00:00",0,1,3.14
"2020-03-10 00:00:00",1,1,3.43
"2020-03-11 00:00:00",0,10,6.14
"2020-03-12 00:00:00",0,6,7.86
"2020-03-13 00:00:00",0,4,10.14
"2020-03-14 00:00:00",0,19,16.14
"2020-03-15 00:00:00",0,13,20.57
"2020-03-16 00:00:00",0,17,30.43
"2020-03-17 00:00:00",0,44,48.29
"2020-03-18 00:00:00",1,40,72.14
"2020-03-19 00:00:00",1,74,104.43
"2020-03-20 00:00:00",8,121,151.29
"2020-03-21 00:00:00",2,184,183.43
"2020-03-22 00:00:00",1,238,230.29
"2020-03-23 00:00:00",8,337,272
"2020-03-24 00:00:00",10,259,318
"2020-03-25 00:00:00",7,362,351.29
"2020-03-26 00:00:00",5,362,398.57
"2020-03-27 00:00:00",3,448,432.14
"2020-03-28 00:00:00",8,411,498.14
"2020-03-29 00:00:00",15,555,545.71
"2020-03-30 00:00:00",44,536,618.71
"2020-03-31 00:00:00",47,684,665
"2020-04-01 00:00:00",55,647,719.86
"2020-04-02 00:00:00",69,809,729.14
"2020-04-03 00:00:00",81,694,771.71
"2020-04-04 00:00:00",109,694,780.43
"2020-04-05 00:00:00",83,552,778.71
"2020-04-06 00:00:00",86,792,760.14
"2020-04-07 00:00:00",77,715,740.57
"2020-04-08 00:00:00",84,606,721.14
"2020-04-09 00:00:00",101,647,743.57
"2020-04-10 00:00:00",85,553,756
"2020-04-11 00:00:00",77,590,779.71
"2020-04-12 00:00:00",79,713,838.14
"2020-04-13 00:00:00",97,868,869.29
"2020-04-14 00:00:00",126,832,924.71
"2020-04-15 00:00:00",229,870,924.71
"2020-04-16 00:00:00",116,850,929.29
"2020-04-17 00:00:00",160,866,921.57
"2020-04-18 00:00:00",108,559,900.57
"2020-04-19 00:00:00",96,728,871.14
"2020-04-20 00:00:00",154,757,863.71
"2020-04-21 00:00:00",113,698,839.86
"2020-04-22 00:00:00",136,757,853.43
"2020-04-23 00:00:00",149,765,824
"2020-04-24 00:00:00",130,729,823.86
"2020-04-25 00:00:00",92,670,840
"2020-04-26 00:00:00",89,529,841.43
"2020-04-27 00:00:00",121,789,854.57
"2020-04-28 00:00:00",130,794,883.43
"2020-04-29 00:00:00",119,784,903
"2020-04-30 00:00:00",109,897,927.86
"2020-05-01 00:00:00",118,943,921.71
"2020-05-02 00:00:00",86,813,917.71
"2020-05-03 00:00:00",78,714,936.71
"2020-05-04 00:00:00",109,758,915.14
"2020-05-05 00:00:00",124,772,875.14
"2020-05-06 00:00:00",126,910,854.71
