Date de vaccination;18-29 ans;;;30-49 ans;;;50-69 ans;;;70-79 ans;;;80 ans et plus;;
;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés;Au moins une dose;Deux doses;Adéquatement vaccinés
2020-12-14;0,0005%;0,0000%;0,0001%;0,0016%;0,0000%;0,0000%;0,0020%;0,0000%;0,0002%;0,0031%;0,0000%;0,0011%;0,0301%;0,0000%;0,0069%
2020-12-15;0,0092%;0,0000%;0,0004%;0,0202%;0,0000%;0,0014%;0,0214%;0,0000%;0,0013%;0,0081%;0,0000%;0,0023%;0,0547%;0,0000%;0,0133%
2020-12-16;0,0202%;0,0000%;0,0013%;0,0393%;0,0000%;0,0029%;0,0387%;0,0000%;0,0023%;0,0096%;0,0000%;0,0024%;0,0549%;0,0000%;0,0136%
2020-12-17;0,0307%;0,0000%;0,0018%;0,0581%;0,0000%;0,0040%;0,0547%;0,0000%;0,0034%;0,0107%;0,0000%;0,0025%;0,0556%;0,0000%;0,0140%
2020-12-18;0,0389%;0,0000%;0,0025%;0,0740%;0,0000%;0,0058%;0,0676%;0,0000%;0,0050%;0,0117%;0,0000%;0,0025%;0,0561%;0,0000%;0,0140%
2020-12-19;0,0475%;0,0000%;0,0029%;0,0886%;0,0000%;0,0071%;0,0797%;0,0000%;0,0063%;0,0135%;0,0000%;0,0025%;0,0563%;0,0000%;0,0140%
2020-12-20;0,0483%;0,0000%;0,0031%;0,0913%;0,0000%;0,0074%;0,0820%;0,0000%;0,0065%;0,0139%;0,0000%;0,0025%;0,0565%;0,0000%;0,0140%
2020-12-21;0,0532%;0,0000%;0,0037%;0,0987%;0,0000%;0,0079%;0,0885%;0,0000%;0,0077%;0,0190%;0,0000%;0,0036%;0,0784%;0,0000%;0,0211%
2020-12-22;0,0650%;0,0000%;0,0044%;0,1216%;0,0000%;0,0099%;0,1151%;0,0000%;0,0114%;0,0404%;0,0000%;0,0090%;0,1785%;0,0000%;0,0499%
2020-12-23;0,1047%;0,0000%;0,0076%;0,1853%;0,0000%;0,0163%;0,1746%;0,0000%;0,0184%;0,0600%;0,0000%;0,0102%;0,2442%;0,0000%;0,0607%
2020-12-24;0,1394%;0,0000%;0,0097%;0,2348%;0,0000%;0,0211%;0,2226%;0,0000%;0,0222%;0,0726%;0,0000%;0,0106%;0,2902%;0,0000%;0,0639%
2020-12-25;0,1398%;0,0000%;0,0097%;0,2349%;0,0000%;0,0211%;0,2227%;0,0000%;0,0222%;0,0727%;0,0000%;0,0106%;0,2907%;0,0000%;0,0639%
2020-12-26;0,1768%;0,0000%;0,0123%;0,2940%;0,0000%;0,0268%;0,2752%;0,0000%;0,0279%;0,0798%;0,0000%;0,0108%;0,3028%;0,0000%;0,0639%
2020-12-27;0,2064%;0,0000%;0,0156%;0,3371%;0,0000%;0,0309%;0,3167%;0,0000%;0,0318%;0,0824%;0,0000%;0,0111%;0,3038%;0,0000%;0,0641%
2020-12-28;0,2348%;0,0000%;0,0179%;0,3873%;0,0000%;0,0366%;0,3616%;0,0000%;0,0376%;0,0856%;0,0000%;0,0112%;0,3086%;0,0000%;0,0646%
2020-12-29;0,2641%;0,0000%;0,0208%;0,4328%;0,0000%;0,0408%;0,4055%;0,0000%;0,0423%;0,0908%;0,0000%;0,0115%;0,3134%;0,0000%;0,0646%
2020-12-30;0,3016%;0,0000%;0,0239%;0,4956%;0,0000%;0,0473%;0,4578%;0,0000%;0,0483%;0,0970%;0,0000%;0,0120%;0,3201%;0,0000%;0,0648%
2020-12-31;0,3070%;0,0000%;0,0243%;0,5025%;0,0000%;0,0474%;0,4653%;0,0000%;0,0485%;0,0987%;0,0000%;0,0120%;0,3203%;0,0000%;0,0648%
2021-01-01;0,3084%;0,0000%;0,0243%;0,5041%;0,0000%;0,0475%;0,4659%;0,0000%;0,0485%;0,0996%;0,0000%;0,0120%;0,3212%;0,0000%;0,0648%
2021-01-02;0,3191%;0,0000%;0,0259%;0,5163%;0,0000%;0,0489%;0,4777%;0,0000%;0,0492%;0,1021%;0,0000%;0,0120%;0,3226%;0,0000%;0,0648%
2021-01-03;0,3477%;0,0000%;0,0289%;0,5494%;0,0000%;0,0517%;0,4999%;0,0000%;0,0504%;0,1051%;0,0000%;0,0121%;0,3235%;0,0000%;0,0648%
